b8413f53-b191-11e6-a0b8-001c23c619e5,SEL 1 Voltage Mag,,,,,,SEL 1 ,Voltage Mag
b84319e0-b191-11e6-a0b8-001c23c619e5,SEL 1 Current Mag,,,,,,SEL 1 ,Current Mag
b83a19bd-b191-11e6-a0b8-001c23c619e5,SEL 1 Frequency,,,,,,SEL 1,Frequency
b841bbb7-b191-11e6-a0b8-001c23c619e5,SEL 1 Voltage PA,,,,,,SEL 1,Voltage PA
b84391dc-b191-11e6-a0b8-001c23c619e5,SEL 1 Current PA,,,,,,SEL 1,Current PA
4a086cb7-b196-11e6-a0b8-001c23c619e5,SEL 2 Voltage Mag,,,,,,SEL 2 ,Voltage Mag
4a0ab63e-b196-11e6-a0b8-001c23c619e5,SEL 2 Current Mag,,,,,,SEL 2 ,Current Mag
49feadfa-b196-11e6-a0b8-001c23c619e5,SEL 2 Frequency,,,,,,SEL 2,Frequency
4a09196b-b196-11e6-a0b8-001c23c619e5,SEL 2 Voltage PA,,,,,,SEL 2,Voltage PA
4a0b5530-b196-11e6-a0b8-001c23c619e5,SEL 2 Current PA,,,,,,SEL 2,Current PA
c4e90889-b196-11e6-a0b8-001c23c619e5,SEL 3 Voltage Mag,,,,,,SEL 3 ,Voltage Mag
c4eae0a2-b196-11e6-a0b8-001c23c619e5,SEL 3 Current Mag,,,,,,SEL 3 ,Current Mag
c4d9c06d-b196-11e6-a0b8-001c23c619e5,SEL 3 Frequency,,,,,,SEL 3,Frequency
c4e9a9d3-b196-11e6-a0b8-001c23c619e5,SEL 3 Voltage PA,,,,,,SEL 3,Voltage PA
c4eb4fb0-b196-11e6-a0b8-001c23c619e5,SEL 3 Current PA,,,,,,SEL 3,Current PA
f4d95912-b196-11e6-a0b8-001c23c619e5,SEL 4 Voltage Mag,,,,,,SEL 4 ,Voltage Mag
f4db6c35-b196-11e6-a0b8-001c23c619e5,SEL 4 Current Mag,,,,,,SEL 4 ,Current Mag
f4d3603f-b196-11e6-a0b8-001c23c619e5,SEL 4 Frequency,,,,,,SEL 4,Frequency
f4da1185-b196-11e6-a0b8-001c23c619e5,SEL 4 Voltage PA,,,,,,SEL 4,Voltage PA
f4dd92fc-b196-11e6-a0b8-001c23c619e5,SEL 4 Current PA,,,,,,SEL 4,Current PA
58b6eab2-b197-11e6-a0b8-001c23c619e5,SEL 5 Voltage Mag,,,,,,SEL 5 ,Voltage Mag
58b8918c-b197-11e6-a0b8-001c23c619e5,SEL 5 Current Mag,,,,,,SEL 5 ,Current Mag
58acafbc-b197-11e6-a0b8-001c23c619e5,SEL 5 Frequency,,,,,,SEL 5,Frequency
58b7742f-b197-11e6-a0b8-001c23c619e5,SEL 5 Voltage PA,,,,,,SEL 5,Voltage PA
58b8fcf6-b197-11e6-a0b8-001c23c619e5,SEL 5 Current PA,,,,,,SEL 5,Current PA
94aaee98-b197-11e6-a0b8-001c23c619e5,SEL 6 Voltage Mag,,,,,,SEL 6 ,Voltage Mag
94acda00-b197-11e6-a0b8-001c23c619e5,SEL 6 Current Mag,,,,,,SEL 6 ,Current Mag
94a5f062-b197-11e6-a0b8-001c23c619e5,SEL 6 Frequency,,,,,,SEL 6,Frequency
94ab7019-b197-11e6-a0b8-001c23c619e5,SEL 6 Voltage PA,,,,,,SEL 6,Voltage PA
94ad7877-b197-11e6-a0b8-001c23c619e5,SEL 6 Current PA,,,,,,SEL 6,Current PA
d525417f-b197-11e6-a0b8-001c23c619e5,SEL 7 Voltage Mag,,,,,,SEL 7 ,Voltage Mag
d526b4dc-b197-11e6-a0b8-001c23c619e5,SEL 7 Current Mag,,,,,,SEL 7 ,Current Mag
d520c05a-b197-11e6-a0b8-001c23c619e5,SEL 7 Frequency,,,,,,SEL 7,Frequency
d525b420-b197-11e6-a0b8-001c23c619e5,SEL 7 Voltage PA,,,,,,SEL 7,Voltage PA
d5271b66-b197-11e6-a0b8-001c23c619e5,SEL 7 Current PA,,,,,,SEL 7,Current PA
5fe29ca7-b198-11e6-a0b8-001c23c619e5,SEL 8 Voltage Mag,,,,,,SEL 8 ,Voltage Mag
5fe42bb3-b198-11e6-a0b8-001c23c619e5,SEL 8 Current Mag,,,,,,SEL 8 ,Current Mag
5fd7df0f-b198-11e6-a0b8-001c23c619e5,SEL 8 Frequency,,,,,,SEL 8,Frequency
5fe31484-b198-11e6-a0b8-001c23c619e5,SEL 8 Voltage PA,,,,,,SEL 8,Voltage PA
5fe49be9-b198-11e6-a0b8-001c23c619e5,SEL 8 Current PA,,,,,,SEL 8,Current PA
